cycle,trajectory,folds,scored,passing,missing_affinity,prior_best,best_score,best_name,improvement,best_ligand_plddt,best_pbind,q10,q25,median,q75,q90,q95,all_q10,all_median,all_q90,gap_to_median,gap_to_second,within_001,improve_001,final_filter_count,advanced_name,advanced_score,advanced_rank_all,advanced_percentile_all,best_so_far
12,4,64,64,32,0,1.968279180508275,1.9371512207185069,c12_t4_n0_s15,-0.031127959789768234,96.09161290322581,0.9762350916862488,1.572283081991134,1.6210220533670918,1.7308243102427454,1.8511588406124424,1.893570535645331,1.9072018961514197,1.1139427050959678,1.6069492632142959,1.8790702736731497,0.20632691047576146,0.024999159283791705,1,0,13,c12_t4_n0_s15,1.9371512207185069,1,100.0,1.968279180508275
12,5,64,64,25,0,1.9452565303802491,1.9392964397184311,c12_t5_n0_s0,-0.005960090661818018,95.60741935483873,0.983222246170044,1.249227362431557,1.3791744704769502,1.654229545420985,1.7917703431652439,1.8907463490984517,1.9062194622532014,1.1560386150397022,1.6347013089918319,1.8974574259241166,0.28506689429744614,0.03290888666645175,1,0,8,c12_t5_n0_s0,1.9392964397184311,1,100.0,1.9452565303802491
13,0,64,64,9,0,1.7214562675906766,1.534561577846158,c13_t0_n0_s5,-0.1868946897445185,93.35516129032258,0.6010099649429321,0.7432403491967724,1.0292141510440458,1.2500229738297002,1.4297085117678487,1.511241870918274,1.522901724382216,0.8140894595906042,1.0072109255975292,1.363338444363994,0.2845386040164579,0.029149633659855123,1,0,0,,,,,1.7214562675906766
13,3,64,64,23,0,1.9375815356531452,1.941142943982155,c13_t3_n0_s54,0.003561408329009863,96.61290322580645,0.9750139117240906,1.5001055773076706,1.7285068950591547,1.8406496772427714,1.8905983226283902,1.9055287551233842,1.9284054422923056,1.3498857489410527,1.716000610120835,1.9048535827713626,0.10049326673938364,0.010345685860418508,1,0,11,c13_t3_n0_s54,1.941142943982155,1,100.0,1.941142943982155
13,4,64,64,40,0,1.968279180508275,1.962373676850719,c13_t4_n0_s51,-0.005905503657556155,97.30774193548388,0.9892962574958801,1.4484068233594587,1.7162555843430183,1.8703634713465167,1.9162770919207606,1.9454960554775118,1.9508630865155498,1.244963219555578,1.771540844614275,1.9360319857086676,0.09201020550420225,0.0029227431974103713,2,0,25,c13_t4_n0_s51,1.962373676850719,1,100.0,1.968279180508275
13,5,64,64,31,0,1.9452565303802491,1.955451340315419,c13_t5_n0_s22,0.010194809935169857,97.21225806451613,0.9833287596702576,1.6217633072514688,1.7295368949151808,1.8432633944634467,1.905396957446683,1.9322469335925194,1.9427731513454067,0.9920874189115341,1.7258317703862345,1.9230782503718713,0.11218794585197234,0.002736973882490945,2,1,20,c13_t5_n0_s22,1.955451340315419,1,100.0,1.955451340315419
14,3,64,64,12,0,1.941142943982155,1.8846321998503899,c14_t3_n0_s48,-0.056510744131765156,93.3590322580645,0.9510418772697449,1.4676813161326994,1.5713348424634628,1.793278748893738,1.8530395452691661,1.8699125686387092,1.8772669069667016,1.041657470242285,1.5772197821663272,1.8532461220307503,0.09135345095665182,0.013391441606706023,1,0,5,c14_t3_n0_s48,1.8846321998503899,3,96.875,1.941142943982155
14,4,64,64,36,0,1.968279180508275,1.961080028466255,c14_t4_n0_s19,-0.0071991520420200406,96.69290322580642,0.9941509962081909,1.5882068097329909,1.648530101250833,1.735769195224393,1.8687488991691221,1.9174432955941847,1.926782540746658,1.1720795949431388,1.6555855691448333,1.8903780843602458,0.22531083324186207,0.026781881833845222,1,0,10,,,,,1.968279180508275
14,5,64,64,39,0,1.955451340315419,1.9358093663800147,c14_t5_n0_s6,-0.019641973935404344,96.71612903225807,0.9686480760574341,1.3665839523149306,1.4844557877232951,1.71609889269798,1.8374656857659741,1.8925490342970819,1.9164641252985308,1.134457569762199,1.5442179267314171,1.8651422796298613,0.21971047368203456,0.0013062705932123109,2,0,15,c14_t5_n0_s6,1.9358093663800147,1,100.0,1.955451340315419
15,3,64,64,15,0,1.941142943982155,1.9153196837240651,c15_t3_n0_s54,-0.025823260258089897,95.76806451612904,0.9576390385627747,1.3974995944053894,1.5016539359292675,1.6794223891289006,1.8162694932706895,1.8713038300514222,1.8868235919570924,1.4778766156168905,1.8150109129182757,1.8797467568511348,0.2358972945951645,0.04070870252424674,1,0,3,c15_t3_n0_s54,1.9153196837240651,2,98.4375,1.941142943982155
