cycle,trajectory,threshold,replicates,mean_proposals,p_stop16,p_stop32,p_exact_best,p_within_001,mean_score_loss,p_no_passing,p_loss_over_001,prefix_proposals,prefix_score_loss
13,0,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,0,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,0,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,3,0.0001,2000,43.24,0.2595,0.2595,1.0,1.0,0.0,0.0,0.0,64,0.0
13,3,0.001,2000,43.24,0.2595,0.2595,1.0,1.0,0.0,0.0,0.0,64,0.0
13,3,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,3,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
13,5,0.0001,2000,32.336,0.454,0.3085,0.667,1.0,0.0009114123028694847,0.0,0.0,32,0.0
13,5,0.001,2000,32.336,0.454,0.3085,0.667,1.0,0.0009114123028694847,0.0,0.0,32,0.0
13,5,0.005,2000,32.336,0.454,0.3085,0.667,1.0,0.0009114123028694847,0.0,0.0,32,0.0
13,5,0.01,2000,43.968,0.257,0.2405,1.0,1.0,0.0,0.0,0.0,32,0.0
14,3,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,3,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,3,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
14,3,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
